keys,zh_CN
nav.dashboard,总览
nav.contracts,合同
nav.roster,成员
nav.resolution,结算
nav.ending,战役结局
label.week,第
label.week_format,第 %d 周
label.gold,金币
label.reputation,声望
label.unread,未读
label.reward,报酬
label.remaining_turns,剩余回合
label.urgency,紧迫度
label.fatigue,疲劳
label.morale,士气
label.injury,伤势
label.recovery_weeks,恢复周
label.availability,状态
label.wage,工资
label.recent_assignments,近期出勤
label.recent_neglect,近期冷落
status.available,可出勤
status.unavailable,不可出勤
toolbar.end_week,结束本周
toolbar.dispatch_and_end_week,派遣并结束本周
toolbar.enter_next_week,进入下一周
toolbar.save_task016,存档将在 Task 016 实装
toolbar.action_task015,周末结算将在 Task 015 实装
dashboard.no_offers,本周没有待处理合同
dashboard.no_actions,本周暂无已承诺的 NPC 行动
dashboard.no_alerts,当前没有人员警报
dashboard.select_message,选择一封消息查看详情
dashboard.no_messages,当前没有消息
dashboard.no_unread_messages,当前没有未读消息。
tab.dashboard.overview,概览
tab.dashboard.problems,问题
tab.dashboard.inbox,信箱
tab.roster.members,成员
tab.roster.relationships,关系
tab.roster.records,近期记录
alert.member_unavailable,有成员当前不可出勤
alert.member_injured,有成员正在带伤恢复
alert.unread_messages,信箱中有未读消息
urgency.low,低
urgency.guarded,警戒
urgency.high,高
urgency.severe,严重
urgency.critical,危急
importance.normal,普通
importance.high,重要
importance.critical,紧急
roster.capabilities,能力
roster.traits,性格
roster.values,价值观
roster.no_relationships,暂无已记录的关系
roster.no_records,暂无合同记录
class.vanguard,前卫
class.ranger,游猎者
class.adept,术士
capability.frontline,前线
capability.offense,攻势
capability.scouting,侦察
capability.support,支援
capability.arcana,奥术
capability.discipline,纪律
value.protect_life,保护生命
value.respect_authority,尊重权威
value.seek_knowledge,追求知识
value.pursue_profit,追求收益
value.taboo_tolerance,禁忌容忍
trait.cautious.name,谨慎
trait.ambitious.name,进取
trait.compassionate.name,仁慈
trait.ruthless.name,冷酷
trait.loyal.name,忠诚
trait.independent.name,独立
trait.scholarly.name,博学
trait.devout.name,虔诚
adventurer.mara_shield.name,玛拉·盾卫
adventurer.toren_hammer.name,托伦·铁锤
adventurer.elin_pathfinder.name,艾琳·寻路者
adventurer.veska_hunter.name,维斯卡·猎手
adventurer.sister_ana.name,安娜修女
adventurer.orrin_arcanist.name,奥林·秘法师
adventurer.pell_quartermaster.name,佩尔·军需官
adventurer.nera_hedgewitch.name,奈拉·篱巫
faction.faction_free_adventurers.name,自由冒险者联盟
faction.faction_arcane_guild.name,奥术工会
faction.faction_necrotic_collective.name,死灵集社
situation.dragon_invasion.name,北境村庄巨龙灾变
phase_early_crisis.name,危机初起
phase_open_conflict.name,公开冲突
phase_final_window.name,最终窗口
phase_ended.name,终局
clock.villagers_evacuated.name,村民撤离
clock.settlement_destruction.name,聚落毁坏
clock.dragon_exhaustion.name,巨龙疲惫
clock.capture_preparation.name,捕获准备
clock.necrotic_corruption.name,死灵腐化
problem.problem_eastern_road_blocked.title,东部道路受阻
problem.problem_evacuating_civilians.title,村民撤离
problem.problem_field_medical_collapse.title,战地医疗崩溃
problem.problem_mining_village_isolated.title,矿村孤立
